VF_percent,sphere_index,cx_um,cy_um,cz_um,radius_um,diameter_um,RVE_side_um
30,42,331.1890,110.0327,216.2020,40.0000,80.0000,377.0794
30,43,62.2857,52.3393,129.0247,40.0000,80.0000,377.0794
30,44,280.8575,45.0683,335.1664,40.0000,80.0000,377.0794
30,45,219.4451,148.3541,90.5751,40.0000,80.0000,377.0794
30,46,50.0704,133.3845,130.5134,40.0000,80.0000,377.0794
30,47,166.4624,137.6177,330.8271,40.0000,80.0000,377.0794
30,48,42.8759,134.9902,326.3657,40.0000,80.0000,377.0794
30,49,191.9639,326.2618,46.8856,40.0000,80.0000,377.0794
30,50,46.2210,113.0144,248.2951,40.0000,80.0000,377.0794
30,51,264.0667,46.7132,60.5753,40.0000,80.0000,377.0794
30,52,126.4192,203.3434,48.0786,40.0000,80.0000,377.0794
30,53,46.5688,326.7613,224.5731,40.0000,80.0000,377.0794
30,54,329.0041,242.1106,110.7345,40.0000,80.0000,377.0794
30,55,321.4623,41.5524,258.4150,40.0000,80.0000,377.0794
30,56,88.7973,255.6510,231.4679,40.0000,80.0000,377.0794
30,57,333.7612,283.0465,256.8738,40.0000,80.0000,377.0794
30,58,160.7056,334.8542,336.2504,40.0000,80.0000,377.0794
30,59,40.7090,45.0048,331.3083,40.0000,80.0000,377.0794
30,60,44.5125,261.1368,41.0576,40.0000,80.0000,377.0794
40,1,98.1820,143.6749,91.1074,40.0000,80.0000,299.2882
40,2,181.9848,164.3143,113.5748,40.0000,80.0000,299.2882
40,3,40.3000,120.2454,40.3000,40.0000,80.0000,299.2882
40,4,40.3000,40.3000,255.2417,40.0000,80.0000,299.2882
40,5,230.1702,180.0206,40.3000,40.0000,80.0000,299.2882
40,6,163.9297,103.7964,63.6369,40.0000,80.0000,299.2882
40,7,119.5702,72.1034,122.8661,40.0000,80.0000,299.2882
40,8,253.8282,118.9532,87.1386,40.0000,80.0000,299.2882
40,9,128.7614,258.9882,223.6230,40.0000,80.0000,299.2882
40,10,40.3000,120.7172,258.9882,40.0000,80.0000,299.2882
40,11,236.1270,42.6729,258.9882,40.0000,80.0000,299.2882
40,12,207.5660,40.3000,40.3000,40.0000,80.0000,299.2882
40,13,103.7059,227.3719,86.1533,40.0000,80.0000,299.2882
40,14,199.9240,90.2837,139.6731,40.0000,80.0000,299.2882
40,15,83.5640,71.3693,194.8674,40.0000,80.0000,299.2882
40,16,149.3590,179.4547,40.3000,40.0000,80.0000,299.2882
40,17,256.7289,40.3000,104.0438,40.0000,80.0000,299.2882
40,18,101.0649,183.8425,231.7875,40.0000,80.0000,299.2882
40,19,40.3000,40.3000,49.8026,40.0000,80.0000,299.2882
40,20,40.3000,137.6900,180.2829,40.0000,80.0000,299.2882
40,21,258.9882,222.9409,162.3668,40.0000,80.0000,299.2882
40,22,214.8218,235.7881,96.2986,40.0000,80.0000,299.2882
40,23,161.8332,258.9882,40.3000,40.0000,80.0000,299.2882
40,24,197.3611,183.4486,195.8935,40.0000,80.0000,299.2882
40,25,258.9882,191.2822,247.1220,40.0000,80.0000,299.2882
40,26,187.2528,258.9882,168.2857,40.0000,80.0000,299.2882
40,27,258.9882,56.0366,182.9589,40.0000,80.0000,299.2882
40,28,121.0320,40.3000,258.9882,40.0000,80.0000,299.2882
40,29,120.2401,40.3000,40.3000,40.0000,80.0000,299.2882
40,30,208.9048,107.3590,219.5491,40.0000,80.0000,299.2882
40,31,70.2522,258.9882,152.2071,40.0000,80.0000,299.2882
40,32,42.9404,200.7114,40.3000,40.0000,80.0000,299.2882
40,33,40.3000,191.4079,120.3232,40.0000,80.0000,299.2882
40,34,159.9611,40.3000,188.5228,40.0000,80.0000,299.2882
40,35,139.6358,118.6210,258.9882,40.0000,80.0000,299.2882
40,36,128.8778,204.2370,159.0404,40.0000,80.0000,299.2882
40,37,139.8774,126.9903,178.9184,40.0000,80.0000,299.2882
40,38,40.3000,235.9759,223.2974,40.0000,80.0000,299.2882
40,39,40.3000,59.0624,128.0958,40.0000,80.0000,299.2882
40,40,258.9882,138.9040,164.9602,40.0000,80.0000,299.2882
